unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62E+12,12/03/2021 01:00,BTC/USDT,57362.05,57640.34,56624,56902.8,2607.214319,149079401.7,114182
1.62E+12,12/03/2021 00:00,BTC/USDT,57773.15,58081.51,56777.77,57362.04,4018.339418,230508156.4,134725
1.62E+12,11/03/2021 23:00,BTC/USDT,57882.57,58150,57604.16,57773.16,2961.366253,171530513.4,78582
1.62E+12,11/03/2021 22:00,BTC/USDT,57573.7,58050,57462.12,57874.67,2810.014359,162377609.2,136545
1.62E+12,11/03/2021 21:00,BTC/USDT,57457.36,57900,57235.29,57562.49,4464.246617,257564954.4,118133
1.62E+12,11/03/2021 20:00,BTC/USDT,56823.78,57600,56560,57457.36,3049.186167,174323211.1,113435
1.62E+12,11/03/2021 19:00,BTC/USDT,57519.86,57651.35,56628.03,56827.84,2840.072878,162499210.4,95082
1.62E+12,11/03/2021 18:00,BTC/USDT,56802.88,57682,56531.67,57519.86,4910.646052,281082821.1,164860
1.62E+12,11/03/2021 17:00,BTC/USDT,56872.1,57050,56269.76,56802.88,3424.875572,194291111.7,118769
1.62E+12,11/03/2021 16:00,BTC/USDT,56347.19,57030,56340.06,56872.1,3501.189276,198572717.1,111203
1.62E+12,11/03/2021 15:00,BTC/USDT,56815.13,57091.06,55855,56347.19,4918.273522,277865272.8,132208
1.62E+12,11/03/2021 14:00,BTC/USDT,56921.18,57238.5,56462.48,56815.13,4930.079177,280477535.4,113826
1.62E+12,11/03/2021 13:00,BTC/USDT,56275,56999,56272.54,56921.18,3907.839705,221504818.9,105871
1.62E+12,11/03/2021 12:00,BTC/USDT,56233.42,56445.09,55702.09,56272.54,3821.539708,214419408.7,120863
1.62E+12,11/03/2021 11:00,BTC/USDT,55530.59,56270.75,55407.18,56227.34,3528.166725,196688903.4,137451
1.62E+12,11/03/2021 10:00,BTC/USDT,54474.27,55612.95,54414.4,55530.6,3587.14363,197503390.8,103026
1.62E+12,11/03/2021 09:00,BTC/USDT,54761.01,54928.43,54431.86,54474.27,2587.031188,141452638.8,104738
1.62E+12,11/03/2021 08:00,BTC/USDT,55034.21,55093.53,54272.82,54761.02,5458.583108,298607963.5,163889
1.62E+12,11/03/2021 07:00,BTC/USDT,55555.13,55797.07,55005,55034.2,2820.532451,156384279.7,67395
1.62E+12,11/03/2021 06:00,BTC/USDT,55275.32,55767.15,55005,55557.94,2896.871399,160614869.3,88276
1.62E+12,11/03/2021 05:00,BTC/USDT,55835.39,55835.39,55200.8,55275.32,2300.088255,127532060.6,59755
1.62E+12,11/03/2021 04:00,BTC/USDT,55992.6,56179.87,55603.66,55835.4,1923.302279,107433105.1,53208
1.62E+12,11/03/2021 03:00,BTC/USDT,56316.41,56483.11,55599,55992.6,2196.109247,122958150.6,55310
1.62E+12,11/03/2021 02:00,BTC/USDT,55781.91,56323.51,55649.93,56314.58,2435.826637,136454058.8,75084
1.62E+12,11/03/2021 01:00,BTC/USDT,55607.55,55947.36,55170.22,55781.92,2880.278005,159874580.3,101593
1.62E+12,11/03/2021 00:00,BTC/USDT,55851.59,56499.98,55505,55601.55,3761.550649,210353015.9,90868
1.62E+12,10/03/2021 23:00,BTC/USDT,56905.37,56950,55800,55851.59,3227.461537,181468323.1,126783
1.62E+12,10/03/2021 22:00,BTC/USDT,56919.1,57225.73,56476.95,56905.37,2148.260323,122097690.9,122720
1.62E+12,10/03/2021 21:00,BTC/USDT,56266,57045.22,55530.01,56918.4,4757.620061,267433344,137896
1.62E+12,10/03/2021 20:00,BTC/USDT,56739.4,56894.11,56037.15,56266,4313.702343,243351448.8,103580
